cod;nm_categoria;de_categoria
E45;E45   Atraso desenv dev desnutric proteico-caloric;Atraso do desenvolvimento devido à desnutrição protéico-calórica
E46;E46   Desnutric proteico-calorica NE;Desnutrição protéico-calórica não especificada
E50;E50   Defic de vitamina A;Deficiência de vitamina A
E51;E51   Defic de tiamina;Deficiência de tiamina
E52;E52   Defic de niacina;Deficiência de niacina [pelagra]
E53;E53   Defic de outr vitaminas do grupo B;Deficiência de outras vitaminas do grupo B
E54;E54   Defic de acido ascorbico;Deficiência de ácido ascórbico
E55;E55   Defic de vitamina D;Deficiência de vitamina D
E56;E56   Outr defic vitaminicas;Outras deficiências vitamínicas
E58;E58   Defic de calcio da dieta;Deficiência de cálcio da dieta
E59;E59   Defic de selenio da dieta;Deficiência de selênio da dieta
E60;E60   Defic de zinco da dieta;Deficiência de zinco da dieta
E61;E61   Defic de outr elementos nutrientes;Deficiência de outros elementos nutrientes
E63;E63   Outr defic nutricionais;Outras deficiências nutricionais
E64;E64   Sequelas desnutric e outr defic nutricionais;Seqüelas de desnutrição e de outras deficiências nutricionais
E65;E65   Adiposidade localizada;Adiposidade localizada
E66;E66   Obesidade;Obesidade
E67;E67   Outr form de hiperalimentacao;Outras formas de hiperalimentação
E68;E68   Sequelas de hiperalimentacao;Seqüelas de hiperalimentação
E70;E70   Disturbios metabolism aminoacidos aromaticos;Distúrbios do metabolismo de aminoácidos aromáticos
E71;E71   Dist metab aminoacidos cad ramif e acid grax;Distúrbios do metabolismo de aminoácidos de cadeia ramificada e do metabolismo dos ácidos graxos
E72;E72   Outr disturbios metabolismo de aminoacidos;Outros distúrbios do metabolismo de aminoácidos
E73;E73   Intolerancia a lactose;Intolerância à lactose
E74;E74   Outr disturbios do metabolismo carboidratos;Outros distúrbios do metabolismo de carboidratos
E75;E75   Disturb metab esfingolip e outr depos lipid;Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides
E76;E76   Disturbios metabolismo do glicosaminoglicano;Distúrbios do metabolismo do glicosaminoglicano
E77;E77   Disturbios do metabolismo de glicoproteinas;Distúrbios do metabolismo de glicoproteínas
E78;E78   Disturbios metab lipoproteinas e out lipidem;Distúrbios do metabolismo de lipoproteínas e outras lipidemias
E79;E79   Disturbios metabolismo purina e pirimidina;Distúrbios do metabolismo de purina e pirimidina
E80;E80   Disturbios metab porfirina e bilirrubina;Distúrbios do metabolismo da porfirina e da bilirrubina
E83;E83   Disturbios do metabolismo de minerais;Distúrbios do metabolismo de minerais
E84;E84   Fibrose cistica;Fibrose cística
E85;E85   Amiloidose;Amiloidose
E86;E86   Deplecao de volume;Depleção de volume
E87;E87   Outr transt equil hidroeletr e acido-basic;Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico
E88;E88   Outr disturbios metabolicos;Outros distúrbios metabólicos
E89;E89   Transt endocrinos e metab pos-proced NCOP;Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte
E90;E90   Transt nutricionais e metab em doenc COP;Transtornos nutricionais e metabólicos em doenças classificadas em outra parte
F00;F00   Demencia na doenc de Alzheimer;Demência na doença de Alzheimer
F01;F01   Demencia vascular;Demência vascular
F02;F02   Demencia em outr doenc COP;Demência em outras doenças classificadas em outra parte
F03;F03   Demencia NE;Demência não especificada
F04;F04   Sindr amnes org n ind alcool out subst psic;Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas
F05;F05   Delirium nao induz alcool outr subst psicoat;Delirium não induzido pelo álcool ou por outras substâncias psicoativas
F06;F06   Outr transt ment lesao disf cereb doenc fis;Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
F07;F07   Transt pers comport dev doen lesao disf cer;Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral
F09;F09   Transt mental organico ou sintomatico NE;Transtorno mental orgânico ou sintomático não especificado
F10;F10   Transt mentais comport dev uso alcool;Transtornos mentais e comportamentais devidos ao uso de álcool
F11;F11   Transt mentais e comport dev uso de opiaceos;Transtornos mentais e comportamentais devidos ao uso de opiáceos
F12;F12   Transt mentais comport dev uso canabinoides;Transtornos mentais e comportamentais devidos ao uso de canabinóides
F13;F13   Transt mentais comport dev uso sedat hipnot;Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos
F14;F14   Transt mentais e comport dev uso da cocaina;Transtornos mentais e comportamentais devidos ao uso da cocaína
F15;F15   Transt ment comp uso outr estim incl cafeina;Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína
F16;F16   Transt mentais comport dev uso alucinogenos;Transtornos mentais e comportamentais devidos ao uso de alucinógenos
F17;F17   Transt mentais e comport dev uso de fumo;Transtornos mentais e comportamentais devidos ao uso de fumo
F18;F18   Transt mentais comport dev uso solv volateis;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis
F19;F19   Transt ment comp mult drog out subst psicoat;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
F20;F20   Esquizofrenia;Esquizofrenia
F21;F21   Transt esquizotipico;Transtorno esquizotípico
F22;F22   Transt delirantes persistentes;Transtornos delirantes persistentes
F23;F23   Transt psicoticos agudos e transitorios;Transtornos psicóticos agudos e transitórios
F24;F24   Transt delirante induz;Transtorno delirante induzido
F25;F25   Transt esquizoafetivos;Transtornos esquizoafetivos
F28;F28   Outr transt psicoticos nao-organicos;Outros transtornos psicóticos não-orgânicos
F29;F29   Psicose nao-organica NE;Psicose não-orgânica não especificada
F30;F30   Episodio maniaco;Episódio maníaco
F31;F31   Transt afetivo bipolar;Transtorno afetivo bipolar
F32;F32   Episodios depressivos;Episódios depressivos
F33;F33   Transt depressivo recorrente;Transtorno depressivo recorrente
F34;F34   Transt de humor persistentes;Transtornos de humor [afetivos] persistentes
F38;F38   Outr transt do humor;Outros transtornos do humor [afetivos]
F39;F39   Transt do humor NE;Transtorno do humor [afetivo] não especificado
F40;F40   Transt fobico-ansiosos;Transtornos fóbico-ansiosos
F41;F41   Outr transt ansiosos;Outros transtornos ansiosos
F42;F42   Transt obsessivo-compulsivo;Transtorno obsessivo-compulsivo
F43;F43   Reacoes ao stress grave e transt adaptacao;"Reações ao ""stress"" grave e transtornos de adaptação"
F44;F44   Transt dissociativos;Transtornos dissociativos [de conversão]
F45;F45   Transt somatoformes;Transtornos somatoformes
F48;F48   Outr transt neuroticos;Outros transtornos neuróticos
F50;F50   Transt da alimentacao;Transtornos da alimentação
F51;F51   Transt nao-organicos sono dev fat emocionais;Transtornos não-orgânicos do sono devidos a fatores emocionais
F52;F52   Disfuncao sexual n caus p/transt doenc organ;Disfunção sexual, não causada por transtorno ou doença orgânica
F53;F53   Transt mentais comport assoc puerperio NCOP;Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte
F54;F54   Fat psicolog comport assoc doenc transt COP;Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
F55;F55   Abuso de subst que nao produzem dependencia;Abuso de substâncias que não produzem dependência
F59;F59   Sindr comp ass trans func fisio fat fisic NE;Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas
F60;F60   Transt especificos da personalidade;Transtornos específicos da personalidade
F61;F61   Transt mistos personal outr transt personal;Transtornos mistos da personalidade e outros transtornos da personalidade
F62;F62   Modif durad pers n atrib lesao doenc cerebr;Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
F63;F63   Transt dos habitos e dos impulsos;Transtornos dos hábitos e dos impulsos
F64;F64   Transt da identidade sexual;Transtornos da identidade sexual
F65;F65   Transt da preferencia sexual;Transtornos da preferência sexual
F66;F66   Transt psic comp assoc desenv sex e orient;Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
F68;F68   Outr transt personalidade e comport adulto;Outros transtornos da personalidade e do comportamento do adulto
F69;F69   Transt personalidade e comport adulto NE;Transtorno da personalidade e do comportamento do adulto, não especificado
F70;F70   Retardo mental leve;Retardo mental leve
F71;F71   Retardo mental moderado;Retardo mental moderado
F72;F72   Retardo mental grave;Retardo mental grave
F73;F73   Retardo mental profundo;Retardo mental profundo
F78;F78   Outr retardo mental;Outro retardo mental
F79;F79   Retardo mental NE;Retardo mental não especificado
F80;F80   Transt especificos desenvolv fala linguagem;Transtornos específicos do desenvolvimento da fala e da linguagem
F81;F81   Transt especif desenvolv habilidade escolar;Transtornos específicos do desenvolvimento das habilidades escolares
F82;F82   Transt especifico do desenvolv motor;Transtorno específico do desenvolvimento motor
F83;F83   Transt especificos misto do desenvolv;Transtornos específicos misto do desenvolvimento
F84;F84   Transt globais do desenvolv;Transtornos globais do desenvolvimento
F88;F88   Outr transt do desenvolv psicologico;Outros transtornos do desenvolvimento psicológico
F89;F89   Transt do desenvolv psicologico NE;Transtorno do desenvolvimento psicológico não especificado
F90;F90   Transt hipercineticos;Transtornos hipercinéticos
F91;F91   Disturbios de conduta;Distúrbios de conduta
F92;F92   Transt mistos de conduta e das emocoes;Transtornos mistos de conduta e das emoções
F93;F93   Transt emocionais c/inicio especif infancia;Transtornos emocionais com início especificamente na infância
F94;F94   Transt func soc c/inicio infancia adolesc;Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência
F95;F95   Tiques;Tiques
F98;F98   Outr transt comp emoc c/inicio inf adolesc;Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência
F99;F99   Transt mental NE em outr parte;Transtorno mental não especificado em outra parte
G00;G00   Meningite bacter NCOP;Meningite bacteriana não classificada em outra parte
G01;G01   Meningite em doenc bacter COP;Meningite em doenças bacterianas classificadas em outra parte
G02;G02   Meningite em outr doenc infecc e parasit COP;Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
G03;G03   Meningite dev outr causas e a causas NE;Meningite devida a outras causas e a causas não especificadas
G04;G04   Encefalite mielite e encefalomielite;Encefalite, mielite e encefalomielite
G05;G05   Encefalite mielite encefalomielite doenc COP;Encefalite, mielite e encefalomielite em doenças classificadas em outra parte
G06;G06   Abscesso granuloma intracran intra-raquid;Abscesso e granuloma intracranianos e intra-raquidianos
G07;G07   Abscess granul intracran intraspin doenc COP;Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
G08;G08   Flebite tromboflebite intracran intra-raquid;Flebite e tromboflebite intracranianas e intra-raquidianas
G09;G09   Sequelas doenc inflam sist nerv centr;Seqüelas de doenças inflamatórias do sistema nervoso central
G10;G10   Doenc de Huntington;Doença de Huntington
G11;G11   Ataxia hereditaria;Ataxia hereditária
G12;G12   Atrofia muscular espinal e sindr correlatas;Atrofia muscular espinal e síndromes correlatas
G13;G13   Atrof sist q afet sist nerv centr doen COP;Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte
G20;G20   Doenc de Parkinson;Doença de Parkinson
G21;G21   Parkinsonismo secund;Parkinsonismo secundário
G22;G22   Parkinsonismo em doenc COP;Parkinsonismo em doenças classificadas em outra parte
G23;G23   Outr doenc degenerativas dos ganglios base;Outras doenças degenerativas dos gânglios da base
G24;G24   Distonia;Distonia
G25;G25   Outr doenc extrapiramidais transt movimentos;Outras doenças extrapiramidais e transtornos dos movimentos
G26;G26   Doenc extrapiramidais transt movim doenc COP;Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte
G30;G30   Doenc de Alzheimer;Doença de Alzheimer
G31;G31   Outr doenc degenerativas sist nervoso NCOP;Outras doenças degenerativas do sistema nervoso não classificadas em outra parte
G32;G32   Outr transt degenerativ sist nerv doenc COP;Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte
G35;G35   Esclerose mult;Esclerose múltipla
G36;G36   Outr desmielinizacoes disseminadas agudas;Outras desmielinizações disseminadas agudas
G37;G37   Outr doenc desmielinizantes sist nerv centr;Outras doenças desmielinizantes do sistema nervoso central
G40;G40   Epilepsia;Epilepsia
G41;G41   Estado de mal epileptico;Estado de mal epiléptico
G43;G43   Enxaqueca;Enxaqueca
G44;G44   Outr sindr de algias cefalicas;Outras síndromes de algias cefálicas
G45;G45   Acid vasc cerebr isquemicos trans sindr corr;Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
G46;G46   Sindr vasc cerebr q ocorr doenc cerebrovasc;Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares
G47;G47   Disturbios do sono;Distúrbios do sono
G50;G50   Transt do nervo trigemeo;Transtornos do nervo trigêmeo
G51;G51   Transt do nervo facial;Transtornos do nervo facial
G52;G52   Transt de outr nervos cranianos;Transtornos de outros nervos cranianos
G53;G53   Transt dos nervos cranianos em doenc COP;Transtornos dos nervos cranianos em doenças classificadas em outra parte
G54;G54   Transt das raizes e dos plexos nervosos;Transtornos das raízes e dos plexos nervosos
G55;G55   Compressoes raizes plexos nervosos doenc COP;Compressões das raízes e dos plexos nervosos em doenças classificadas em outra parte
G56;G56   Mononeuropatias dos membros super;Mononeuropatias dos membros superiores
G57;G57   Mononeuropatias dos membros infer;Mononeuropatias dos membros inferiores
G58;G58   Outr mononeuropatias;Outras mononeuropatias
G59;G59   Mononeuropatias em doenc COP;Mononeuropatias em doenças classificadas em outra parte
G60;G60   Neuropatia hereditaria e idiopatica;Neuropatia hereditária e idiopática
G61;G61   Polineuropatia inflam;Polineuropatia inflamatória
G62;G62   Outr polineuropatias;Outras polineuropatias
G63;G63   Polineuropatia em doenc COP;Polineuropatia em doenças classificadas em outra parte
G64;G64   Outr transt do sist nervoso periferico;Outros transtornos do sistema nervoso periférico
G70;G70   Miastenia gravis outr transt neuromusculares;Miastenia gravis e outros transtornos neuromusculares
